 sorted:
1372: 0.0000839098
6993: 0.0000830690
1747: 0.0000829525
1444: 0.0000827971
8037: 0.0000827822
1382: 0.0000826083
5058: 0.0000824477
1518: 0.0000822443
749: 0.0000819201
2129: 0.0000818925
1901: 0.0000816191
2416: 0.0000811337
7695: 0.0000808296
1420: 0.0000803385
1520: 0.0000802582
50: 0.0000801500
1218: 0.0000800318
1468: 0.0000796571
1203: 0.0000793281
904: 0.0000793055
881: 0.0000790492
1564: 0.0000784703
4134: 0.0000777579
1880: 0.0000776011
5640: 0.0000773242
1389: 0.0000771721
1407: 0.0000771164
6400: 0.0000761105
29: 0.0000757717
907: 0.0000753853
6707: 0.0000751591
6840: 0.0000751591
1055: 0.0000748317
656: 0.0000744589
7040: 0.0000742073
1583: 0.0000741604
1652: 0.0000741085
5457: 0.0000739536
8122: 0.0000736849
1979: 0.0000735951
334: 0.0000735836
3808: 0.0000735305
999: 0.0000730928
2880: 0.0000727070
1707: 0.0000722805
322: 0.0000720637
1672: 0.0000718111
1032: 0.0000717341
1692: 0.0000716027
1402: 0.0000714973
746: 0.0000713488
4507: 0.0000712753
4412: 0.0000710986
3554: 0.0000709824
135: 0.0000708230
2178: 0.0000708026
3: 0.0000703824
3922: 0.0000692561
394: 0.0000692260
1550: 0.0000689735
2097: 0.0000689046
5140: 0.0000686208
1137: 0.0000685085
5933: 0.0000684352
7874: 0.0000684073
6553: 0.0000677063
310: 0.0000674738
5500: 0.0000674515
1920: 0.0000673240
2604: 0.0000667651
826: 0.0000665693
2777: 0.0000664833
2185: 0.0000662781
1556: 0.0000662044
6: 0.0000660430
5323: 0.0000660193
7185: 0.0000660177
1864: 0.0000659323
730: 0.0000658417
5487: 0.0000656742
3769: 0.0000656291
4127: 0.0000655485
1752: 0.0000654180
4977: 0.0000653918
1730: 0.0000652420
1080: 0.0000651262
371: 0.0000650431
2307: 0.0000648381
981: 0.0000647062
590: 0.0000646878
2918: 0.0000645659
4402: 0.0000645538
836: 0.0000645268
5638: 0.0000643816
1396: 0.0000642290
1075: 0.0000641743
1506: 0.0000639627
1418: 0.0000635590
8178: 0.0000634742
1662: 0.0000634107
280: 0.0000632692
7517: 0.0000632221
321: 0.0000631712
827: 0.0000630542
6953: 0.0000628969
4298: 0.0000622449
1618: 0.0000619250
6320: 0.0000617743
6198: 0.0000613704
673: 0.0000603170
2917: 0.0000600668
1241: 0.0000599792
2799: 0.0000596875
286: 0.0000589823
1259: 0.0000587567
1513: 0.0000586436
1628: 0.0000584564
1043: 0.0000578044
664: 0.0000576427
7059: 0.0000576326
1649: 0.0000575871
1768: 0.0000574925
182: 0.0000573481
348: 0.0000572176
3548: 0.0000568748
1595: 0.0000566225
325: 0.0000563614
2091: 0.0000563194
252: 0.0000563092
897: 0.0000559996
1985: 0.0000556954
5511: 0.0000556577
584: 0.0000554516
2168: 0.0000554057
2946: 0.0000552550
3520: 0.0000547947
1023: 0.0000547452
2072: 0.0000547075
2181: 0.0000537721
6942: 0.0000537542
4276: 0.0000537460
963: 0.0000533115
6094: 0.0000532947
440: 0.0000531471
8141: 0.0000530669
5592: 0.0000523690
255: 0.0000521953
748: 0.0000520864
4331: 0.0000518930
3835: 0.0000518197
132: 0.0000515131
4648: 0.0000515066
913: 0.0000513825
4351: 0.0000512320
806: 0.0000512004
1780: 0.0000511404
5308: 0.0000511309
4219: 0.0000510531
1493: 0.0000510083
4181: 0.0000509213
6700: 0.0000503860
1865: 0.0000503764
36: 0.0000502981
8276: 0.0000502648
1629: 0.0000502392
228: 0.0000502298
4024: 0.0000501898
151: 0.0000500104
4058: 0.0000498546
861: 0.0000497802
2165: 0.0000496645
1791: 0.0000486016
5950: 0.0000482996
2085: 0.0000481215
396: 0.0000480368
261: 0.0000477428
948: 0.0000477019
1991: 0.0000475444
707: 0.0000474071
2589: 0.0000472975
1983: 0.0000471589
878: 0.0000471163
936: 0.0000467298
607: 0.0000466353
7490: 0.0000466260
1669: 0.0000466128
8292: 0.0000464619
175: 0.0000462181
567: 0.0000460379
6255: 0.0000458833
3567: 0.0000458301
1604: 0.0000456389
1007: 0.0000455981
4088: 0.0000455391
236: 0.0000452212
2206: 0.0000451822
4776: 0.0000451792
1597: 0.0000451609
488: 0.0000451003
7647: 0.0000450914
622: 0.0000449933
428: 0.0000448677
6407: 0.0000443803
1619: 0.0000441757
643: 0.0000439878
991: 0.0000433558
604: 0.0000431985
943: 0.0000431894
39: 0.0000430638
956: 0.0000430198
1793: 0.0000429242
798: 0.0000428005
4051: 0.0000427176
192: 0.0000425261
515: 0.0000425261
844: 0.0000423372
2781: 0.0000420357
1490: 0.0000417624
2926: 0.0000417115
627: 0.0000416480
447: 0.0000413642
4993: 0.0000410956
5784: 0.0000407758
19: 0.0000407543
5309: 0.0000406855
2979: 0.0000402514
3576: 0.0000396773
1152: 0.0000396651
429: 0.0000396143
3200: 0.0000394718
3804: 0.0000394079
4677: 0.0000393620
4831: 0.0000393620
820: 0.0000392967
1168: 0.0000390379
955: 0.0000390332
6772: 0.0000390246
7146: 0.0000390246
379: 0.0000388612
8169: 0.0000387172
257: 0.0000385100
1432: 0.0000384428
613: 0.0000382600
216: 0.0000382322
918: 0.0000381899
1030: 0.0000381382
1757: 0.0000381041
829: 0.0000380776
1141: 0.0000380341
80: 0.0000378187
5639: 0.0000374090
1531: 0.0000373420
1221: 0.0000372818
849: 0.0000372020
2060: 0.0000370105
675: 0.0000369924
932: 0.0000368831
339: 0.0000367305
154: 0.0000367267
2202: 0.0000361330
2499: 0.0000360772
5368: 0.0000360595
377: 0.0000360586
994: 0.0000359980
1039: 0.0000358009
5559: 0.0000357863
5664: 0.0000357342
7297: 0.0000357342
226: 0.0000356483
8283: 0.0000356399
725: 0.0000354511
2724: 0.0000353917
7120: 0.0000352255
5305: 0.0000351499
5045: 0.0000350090
6161: 0.0000349048
2386: 0.0000347893
183: 0.0000346661
7393: 0.0000345845
224: 0.0000344558
864: 0.0000343970
7652: 0.0000343910
2993: 0.0000343701
1600: 0.0000343143
4822: 0.0000342646
300: 0.0000342576
3646: 0.0000342546
581: 0.0000341652
1915: 0.0000341609
7675: 0.0000340550
1100: 0.0000340247
564: 0.0000340040
6474: 0.0000337457
1689: 0.0000334213
2354: 0.0000333056
3506: 0.0000332218
3155: 0.0000330603
674: 0.0000329898
5738: 0.0000328843
868: 0.0000326658
771: 0.0000325829
150: 0.0000325488
314: 0.0000324594
6803: 0.0000323968
6111: 0.0000322311
8249: 0.0000322155
810: 0.0000321575
5991: 0.0000317684
1128: 0.0000317233
5311: 0.0000316355
6164: 0.0000315180
1596: 0.0000314594
2575: 0.0000312576
658: 0.0000311121
873: 0.0000309786
1196: 0.0000309734
2182: 0.0000309651
1732: 0.0000309477
592: 0.0000308795
1861: 0.0000305236
1537: 0.0000303808
1074: 0.0000303050
6511: 0.0000303050
538: 0.0000300986
945: 0.0000300257
628: 0.0000300166
802: 0.0000300033
5364: 0.0000299481
7074: 0.0000299189
784: 0.0000298418
2281: 0.0000298164
319: 0.0000297384
258: 0.0000296226
5620: 0.0000296133
995: 0.0000295207
6938: 0.0000291578
6890: 0.0000291578
885: 0.0000291574
2348: 0.0000290677
3319: 0.0000290034
1144: 0.0000287539
5350: 0.0000285666
89: 0.0000283636
566: 0.0000282727
4786: 0.0000281616
3376: 0.0000281519
3465: 0.0000281358
274: 0.0000280612
2825: 0.0000279995
706: 0.0000279366
3483: 0.0000278420
1160: 0.0000278415
575: 0.0000278131
3243: 0.0000277960
2956: 0.0000277877
5064: 0.0000276157
1819: 0.0000273165
586: 0.0000273078
1154: 0.0000272879
1321: 0.0000272382
979: 0.0000272253
2914: 0.0000272069
1220: 0.0000271364
4117: 0.0000271062
5630: 0.0000270877
390: 0.0000269811
3538: 0.0000267790
3145: 0.0000267655
1563: 0.0000266926
1326: 0.0000265749
306: 0.0000265454
5406: 0.0000264660
5977: 0.0000264466
1441: 0.0000263935
5513: 0.0000261948
127: 0.0000261534
686: 0.0000261485
7186: 0.0000261473
5655: 0.0000259695
378: 0.0000259566
232: 0.0000259408
616: 0.0000259001
7604: 0.0000258539
6590: 0.0000257994
4188: 0.0000257639
4049: 0.0000257639
4311: 0.0000257639
822: 0.0000257595
684: 0.0000257442
5969: 0.0000255916
406: 0.0000255668
2928: 0.0000255081
163: 0.0000254889
34: 0.0000254566
2838: 0.0000254520
717: 0.0000254344
744: 0.0000254110
4946: 0.0000253776
5044: 0.0000253776
1024: 0.0000253000
5539: 0.0000252327
743: 0.0000251497
5033: 0.0000251030
4047: 0.0000251030
273: 0.0000250632
6892: 0.0000249375
2055: 0.0000247170
1884: 0.0000247126
140: 0.0000246872
6933: 0.0000245800
5499: 0.0000245397
7162: 0.0000244888
4471: 0.0000244452
4987: 0.0000241842
3911: 0.0000241339
219: 0.0000241071
3313: 0.0000240608
3681: 0.0000240377
6663: 0.0000239443
3320: 0.0000237381
5393: 0.0000237087
1038: 0.0000234861
2007: 0.0000233757
681: 0.0000233532
3193: 0.0000233292
2294: 0.0000233292
427: 0.0000233216
631: 0.0000232335
4966: 0.0000231643
4992: 0.0000231643
6424: 0.0000230914
4078: 0.0000230411
1282: 0.0000230084
3018: 0.0000229326
4625: 0.0000229191
5663: 0.0000229191
4866: 0.0000229191
5208: 0.0000229191
5260: 0.0000229191
338: 0.0000227634
793: 0.0000227209
168: 0.0000226162
3486: 0.0000225571
1114: 0.0000225491
6096: 0.0000224391
5772: 0.0000223641
246: 0.0000222713
606: 0.0000222201
1277: 0.0000222193
8277: 0.0000220097
2205: 0.0000218324
349: 0.0000217997
3324: 0.0000217629
942: 0.0000216792
6982: 0.0000215058
7201: 0.0000215058
4934: 0.0000215058
7262: 0.0000215058
705: 0.0000214834
6755: 0.0000214677
1507: 0.0000214034
1984: 0.0000213746
7436: 0.0000213477
6788: 0.0000213335
6769: 0.0000213335
301: 0.0000210984
6661: 0.0000208849
5809: 0.0000208849
6409: 0.0000208849
882: 0.0000207850
682: 0.0000207170
3609: 0.0000204431
8282: 0.0000203984
700: 0.0000201634
657: 0.0000199419
601: 0.0000197891
3126: 0.0000197882
3036: 0.0000197048
6235: 0.0000197048
3980: 0.0000197048
4778: 0.0000197048
1687: 0.0000196762
5860: 0.0000196575
392: 0.0000196097
624: 0.0000195245
866: 0.0000194817
5756: 0.0000194794
7362: 0.0000194095
7588: 0.0000191989
8285: 0.0000190798
3973: 0.0000190744
341: 0.0000190399
1323: 0.0000189418
5980: 0.0000187946
6421: 0.0000187321
7688: 0.0000187064
6759: 0.0000185327
3463: 0.0000185214
1678: 0.0000184006
4942: 0.0000183972
5245: 0.0000183849
6311: 0.0000183648
6344: 0.0000183648
6464: 0.0000183648
3816: 0.0000183228
2426: 0.0000182972
6047: 0.0000182687
3592: 0.0000181833
617: 0.0000179938
823: 0.0000179454
2736: 0.0000179168
4014: 0.0000177333
506: 0.0000177048
779: 0.0000176655
7423: 0.0000172841
668: 0.0000171804
5705: 0.0000170468
2277: 0.0000170468
108: 0.0000168523
2902: 0.0000168214
1569: 0.0000168037
2366: 0.0000167064
2571: 0.0000165866
2670: 0.0000162906
514: 0.0000162799
7304: 0.0000162159
7557: 0.0000162159
3809: 0.0000162159
7740: 0.0000162159
358: 0.0000162129
2112: 0.0000160757
1485: 0.0000160473
4815: 0.0000159582
4654: 0.0000159582
4879: 0.0000159582
5043: 0.0000159582
324: 0.0000158472
929: 0.0000157695
650: 0.0000156926
5326: 0.0000156654
5426: 0.0000156654
6532: 0.0000156042
1833: 0.0000155966
2101: 0.0000155962
791: 0.0000154845
421: 0.0000154812
8025: 0.0000154394
7306: 0.0000153237
8289: 0.0000153163
2133: 0.0000152910
2647: 0.0000152910
3235: 0.0000152910
3056: 0.0000152910
2844: 0.0000152910
3050: 0.0000152910
2501: 0.0000152910
2974: 0.0000152910
3068: 0.0000152910
3547: 0.0000152910
2843: 0.0000152613
389: 0.0000152158
1092: 0.0000152092
2247: 0.0000151075
1657: 0.0000150396
7520: 0.0000149820
1716: 0.0000149584
524: 0.0000148855
6606: 0.0000147367
670: 0.0000147087
5643: 0.0000145888
94: 0.0000145513
359: 0.0000145513
8263: 0.0000145168
3237: 0.0000144727
4111: 0.0000144622
4031: 0.0000144075
5375: 0.0000143086
7921: 0.0000142404
7668: 0.0000142404
6472: 0.0000142067
4173: 0.0000141638
6809: 0.0000141538
7397: 0.0000140981
7701: 0.0000140981
7669: 0.0000140981
2121: 0.0000140756
6261: 0.0000139920
618: 0.0000139899
302: 0.0000139604
4466: 0.0000139452
938: 0.0000138973
934: 0.0000138973
4009: 0.0000138157
7899: 0.0000137152
6491: 0.0000136815
2340: 0.0000136015
3105: 0.0000136015
1970: 0.0000136015
2242: 0.0000132328
8079: 0.0000132328
6529: 0.0000132328
7673: 0.0000132328
4220: 0.0000132328
4605: 0.0000132328
5231: 0.0000132328
5887: 0.0000132328
554: 0.0000132328
2797: 0.0000132328
2650: 0.0000132328
6806: 0.0000132328
852: 0.0000132328
2484: 0.0000132328
6041: 0.0000132328
4359: 0.0000132328
3912: 0.0000132328
6668: 0.0000132328
6269: 0.0000132328
368: 0.0000132328
6302: 0.0000132328
4441: 0.0000132328
3772: 0.0000132328
7498: 0.0000132328
7658: 0.0000132328
2365: 0.0000132328
6777: 0.0000132328
3713: 0.0000132328
7666: 0.0000132328
5133: 0.0000132328
3888: 0.0000132328
2234: 0.0000132328
7323: 0.0000132328
4631: 0.0000132328
8028: 0.0000132328
8235: 0.0000132328
6571: 0.0000132328
3701: 0.0000132328
7799: 0.0000132328
4620: 0.0000132328
2362: 0.0000132328
6462: 0.0000132328
6997: 0.0000132328
2720: 0.0000132328
6709: 0.0000132328
6805: 0.0000132328
5631: 0.0000132328
7819: 0.0000132328
3301: 0.0000132328
619: 0.0000132328
1486: 0.0000132328
291: 0.0000132328
2244: 0.0000132328
7735: 0.0000132328
7495: 0.0000132328
4216: 0.0000132328
741: 0.0000132328
7973: 0.0000132328
7567: 0.0000132328
6083: 0.0000132328
5303: 0.0000132328
7316: 0.0000132328
5767: 0.0000132328
6021: 0.0000132328
5255: 0.0000132328
6267: 0.0000132328
7060: 0.0000132328
6691: 0.0000132328
7857: 0.0000132328
5414: 0.0000132328
167: 0.0000132328
3255: 0.0000132328
7982: 0.0000132328
2629: 0.0000132328
6078: 0.0000132328
7765: 0.0000132328
7952: 0.0000132328
7491: 0.0000132328
7574: 0.0000132328
4235: 0.0000132328
153: 0.0000132328
1300: 0.0000132328
3745: 0.0000132328
778: 0.0000132328
3971: 0.0000132328
477: 0.0000132328
6923: 0.0000132328
3776: 0.0000132328
4068: 0.0000132328
2420: 0.0000132328
6105: 0.0000132328
7994: 0.0000132328
5115: 0.0000132328
8288: 0.0000132328
419: 0.0000132328
2645: 0.0000132328
7996: 0.0000132328
3082: 0.0000132328
7791: 0.0000132328
8246: 0.0000132328
1532: 0.0000132328
1029: 0.0000132328
6723: 0.0000132328
565: 0.0000132328
8130: 0.0000132328
2818: 0.0000132328
6101: 0.0000132328
7642: 0.0000132328
8019: 0.0000132328
6721: 0.0000132328
4541: 0.0000132328
694: 0.0000132328
2607: 0.0000132328
5830: 0.0000132328
5679: 0.0000132328
8076: 0.0000132328
3629: 0.0000132328
5417: 0.0000132328
4231: 0.0000132328
4552: 0.0000132328
1478: 0.0000132328
4264: 0.0000132328
2092: 0.0000132328
3797: 0.0000132328
7149: 0.0000132328
1557: 0.0000132328
1961: 0.0000132328
1664: 0.0000132328
6686: 0.0000132328
5514: 0.0000132328
3849: 0.0000132328
4211: 0.0000132328
5801: 0.0000132328
1950: 0.0000132328
3138: 0.0000132328
3245: 0.0000132328
2378: 0.0000132328
3616: 0.0000132328
8204: 0.0000132328
797: 0.0000132328
714: 0.0000132328
7042: 0.0000132328
7033: 0.0000132328
7023: 0.0000132328
7449: 0.0000132328
4413: 0.0000132328
5757: 0.0000132328
8286: 0.0000132328
4237: 0.0000132328
4168: 0.0000132328
2305: 0.0000132328
5253: 0.0000132328
6226: 0.0000132328
8226: 0.0000132328

